Company Name ,Department,Job Title,Job Description ,Hiring Manager Info,Interview Panel Info
,,,,,
AEG FUELS,Analyst,"Global Supply & BI Analyst (FL, USA)","Collaborate with the AEG Team to turn strategies and opportunities into marketable products. Develop business cases, technical RFP responses, and coordinate tender reviews. Analyze market trends, optimize sales processes, and provide recommendations for domestic and international contract negotiations. Serve as a leader and ambassador of AEG’s Core Values, motivating colleagues to achieve company goals.",Paul Aragones,NA
Walmart,IT,"(USA) Staff, Data Scientist"," Obtain insights by leveraging machine learning algorithms. Examples are-
 Operational segmentation via Clustering algorithms to group customers.
 Supervised and semi-supervised learning methods for optimal payment routing and retries.
 Anomaly detection methods to identify and predict anomalies to improve transactional systems' performance and resiliency.
 Design and develop orchestrated pipelines for analytical purposes and machine learning training.
 Iterate with product and business by creating state of the art machine learning based solutions and be able to explain the reasons behind the executed inference.
 Setup and run experiments to validate hypotheses and explain their conclusions.
 Stay up to date with the latest research and developments in the machine learning field, and apply this where applicable.",NA,NA
"Zodiac Solutions, Inc",IT,"Technical (Oracle Database) Architect at Rahway, New Jersey, USA onsite","Database SME with Appian BPM Advanced skills experience in designing, developing, and deploying business process management solutions using the Appian platform.",NA,NA
Trexquant Investment LP,IT,Data Vendor Specialist (USA),"As a Data Vendor Specialist, you will collaborate closely with researchers and data vendors to identify potential data sets that align with our business needs and evaluate their offerings to determine their suitability. ",NA,NA
Adient,Analyst,"Material Analyst - Columbia, TN, USA","Maintain ERP system for materials, manage production schedules, and ensure accurate inventory records. Address supply shortages, correct inventory inaccuracies, and conduct daily cycle counts. Track supplier performance, communicate quality issues, and support cost recovery efforts. Monitor key performance metrics, achieve inventory targets, and participate in safety and environmental investigations. Ensure compliance with safety procedures and report any hazards.",NA,NA
Schneider Electric,IT,"VIE - Software Engineer - Andover, MA, USA","Develop and test software features for the Edge middleware.
Research, develop, and test solutions for the Edge infrastructure.
Investigate technologies and develop Proof of Concepts for AI analytics and IIoT projects",NA,NA
Halma plc,IT,Halma Catalyst Programme Graduate Trainee - USA ,"Halma is looking for talented individuals with a Bachelors degree or higher in a technical, engineering or science field and right-to-work privileges in the USA, who have the potential to be future leaders of our businesses. This leadership development program offers full-time, salaried employment starting with 2 years training. Trainees will be given 24 months of rotational placements, with responsibility for completing challenging projects at our operating companies and business units. Projects will be in innovative, technical, operational, strategic and commercial areas, providing the trainee with wide range of experience early on in their career.",NA,NA
CloseToHome Careers,IT,Materials Planner /ASSOCIATE Materials Planner - Food Mfg - MIDWEST USA,"Materials Planner /ASSOCIATE Materials Planner – Food Mfg – MIDWEST USA SALARY - $50,000 – $70,000 + Bonus, Benefits & Paid Relocation to the USA Midwest This great employment opportunity is in a beautiful historic city with plenty of museums and parks as well as fantastic dining! If you are ready...",NA,NA
Zuma Restaurants,Marketing,Regional Social Media & Marketing Manager - Zuma USA,"Develop and execute global marketing and social media strategies. Lead content creation, manage community engagement, and oversee brand partnerships. Handle PR operations, digital strategy, and website updates. Manage online presence, provide quarterly reports, and stay ahead of industry trends. Create dynamic content and ensure all communications align with brand guidelines.",NA,NA
Oil and Gas Job Search Ltd,IT,OT Cybersecurity Business Consultant - Eastern USA,"Responsible for leading the commercial growth and development of Operational (OT) Cybersecurity solutions and services in the Eastern US and Canada. This is a revenue-driven customer facing role, offering interaction with internal and external stakeholders across all industries within the assigned geography.",NA,NA
Nestlé,Marketing,2025 Nestlé USA Marketing Development Program ,"The Marketing Development Rotation Program is a dynamic 3-year, development program with unique rotations and experiences that develop participants’ analytical skills, critical thinking, and leadership potential. Through this robust development program, participants build relevant and real-world marketing skills that will jump-start their career as future marketing leaders within Nestlé USA.",NA,NA
McCall Ltd (Rec2Rec),HR,Senior Tech Recruitment - USA Market,Experience working as a Sales/360 or Business Development specialist within the America Market is highly important as your role will be to develop new and existing clients. ,Sarah Lockwood ,NA
INGUN Group,IT,Customer Service Representative USA (m/f/d),providing exceptional support and resolving inquiries through various channels. A strong understanding and ability to navigate both CRM and ERP systems is essential for success in this position. This is an exciting opportunity to join a leading provider of test equipment solutions and make a significant impact on our continued growt,NA,NA
Pandora,Sales,Part Time Sales Lead - Destiny USA ," Dare to embrace the store culture filled with passion for our brand, where team members shine as extraordinary brand ambassadors. 
 Maintain a high-performance selling environment that creates moments and exceeds shopper expectations, delivering unforgettable experiences every time. 
 Embody our brand philosophy ensuring that every guest interaction reflects our core values and leaves a lasting impression. 
 Embrace the opportunities and soar beyond commercial targets and KPI expectations, setting new records and achieving remarkable success. 
 Craft a loyal customer base through engaging with our valued clients, building genuine connections, and fostering long-lasting relationships. 
 Dream to coach and inspire the sales team, fostering a sense of accountability for both yours and the overall store performance by providing real-time feedback and guidance to empower your team in achieving their KPI goals. ",NA,NA
Elliott Scott HR,IT,"Partner Onboarding & Integration Manager - New York City, USA ","Develop and manage integration programs and onboarding plans.
Coordinate with stakeholders and manage integration processes.
Act as the main point of contact for new laterals and address integration issues.
Collaborate with Marketing & Business Development on relevant tasks.
Continuously improve integration strategies and materials.",Shagun Sharma ,NA
Eurofins Agroscience Services,IT,Business Controller - Eurofins Built Environment Testing USA ,"The Business Controller is responsible for providing financial reporting, budgeting/forecasting and analysis for a group of business units within the US Environment Division. The BC partners with the leaders of the businesses to improve forecasting, cost control, understanding of financial position, capital investment analyses, and review of month end financials and assurance of appropriate accruals and accounting accuracy.",NA,NA
